Table 4: ,The number of people in contact with adult mental health services (aged 18 to 69) and the number of people in adult mental health services (aged 18 to 69) who are on CPA (Care Programme Approach) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file) in 2021.,,,
,,,,
,,,,
"In 2021, the number of people in contact with adult mental health services (aged 18 to 69) with accommodation status recorded as specified in M003010 (Data Set Specification (Amd 43/2019) file).",,,,
,,,,
Accommodation Status Code,Accommodation Status,Jan-21,,
CH00,Accommodation with other (not specialist mental health) care support ,1466,,
CH01,Foyer - accommodation for young people aged 16-25 who are homeless or in housing need,44,,
CH02,Refuge,169,,
CH03,Non-Mental Health Registered Care Home ,867,,
CH09,Other accommodation with care and support (not specialist mental health),1630,,
CJ00,Accommodation with criminal justice support ,269,,
CJ01,Bail/Probation hostel,116,,
CJ02,Prison,221,,
CJ03,Young Offender Institution,4,,
CJ04,Detention Centre,8,,
CJ05,Young Offender Institution (15-17),1,,
CJ06,Young Offender Institution (18-21),0,,
CJ07,Secure Children's Home (Secure Welfare Accommodation only),0,,
CJ08,Secure Children's Home (Youth Detention Accommodation only),0,,
CJ10,Secure Children's Home (Secure Welfare Accommodation and Youth Detention Accommodation),1,,
CJ11,Secure Training Centre,0,,
CJ12,Other accommodation with criminal justice support,22,,
HM00,Homeless ,1830,,
HM01,Rough sleeper,378,,
HM02,Squatting,340,,
HM03,"Night shelter/emergency hostel/Direct access hostel (temporary accommodation accepting self referrals, no waiting list and relatively frequent vacancies)",770,,
HM04,Sofa surfing (sleeps on different friends floor each night),588,,
HM05,Placed in temporary accommodation by Local Authority (including Homelessness resettlement service) e.g. Bed and Breakfast accommodation,1999,,
HM06,Staying with friends/family as a short term guest,3181,,
HM07,Other homeless,1097,,
HS00,Acute/long stay healthcare residential facility/hospital ,1049,,
HS01,NHS acute psychiatric ward,689,,
HS02,Independent hospital/clinic,527,,
HS03,Specialist rehabilitation/recovery,944,,
HS04,Secure psychiatric unit,3034,,
HS05,Other NHS facilities/hospital,368,,
HS09,Other acute/long stay healthcare residential facility/hospital,472,,
MA00,Mainstream Housing ,51978,,
MA01,Owner occupier,23866,,
MA02,Settled mainstream housing with family/friends,38361,,
MA03,Shared ownership scheme e.g. Social Homebuy Scheme (tenant purchase percentage of home value from landlord),406,,
MA04,Tenant - Local Authority/Arms Length Management Organisation/Registered Landlord,19143,,
MA05,Tenant - Housing Association,23264,,
MA06,Tenant - private landlord,17154,,
MA09,Other mainstream housing,7144,,
MH00,Accommodation with mental health care support ,4468,,
MH01,Supported accommodation (accommodation supported by staff or resident caretaker),8896,,
MH02,Supported lodgings (lodgings supported by staff or resident caretaker),348,,
MH03,Supported group home (supported by staff or resident caretaker),1781,,
MH04,Mental Health Registered Care Home ,2211,,
MH09,Other accommodation with mental health care and support,1386,,
ML00,Mobile accommodation ,162,,
OC96,Not elsewhere classified,694,,
OC97,Not specified,5556,,
OC98,Not applicable,350,,
OC99,Not Known (Not Recorded),45107,,
SH00,"Sheltered Housing (accommodation with a scheme manager or warden living on the premises or nearby, contactable by an alarm system if necessary) ",613,,
SH01,Sheltered housing for older persons,328,,
