AgeBand,AccommodationStatus,AccommodationType_nc,Patients
18+ Adult,NULL,NULL,54090
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA04,3
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA09,7
18+ Adult,ACCOM WITH MH CARE SUPPORT,OC99,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,HM07,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS02,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,CH03,4
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA02,7
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA01,5
18+ Adult,ACCOM WITH MH CARE SUPPORT,SH09,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,SH03,6
18+ Adult,ACCOM WITH MH CARE SUPPORT,OC96,2
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH04,1921
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH02,54
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH01,1546
18+ Adult,ACCOM WITH MH CARE SUPPORT,CH09,12
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS04,2
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS01,4
18+ Adult,ACCOM WITH MH CARE SUPPORT,SH01,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS03,3
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH09,661
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA05,9
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH03,161
18+ Adult,ACCOM WITH MH CARE SUPPORT,HM06,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,OC97,3
18+ Adult,ACCOM WITH MH CARE SUPPORT,HM05,2
18+ Adult,ACCOM WITH MH CARE SUPPORT,CJ02,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA06,4
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA05,6
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,OC99,1
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MH04,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,OC96,1
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,SH03,1
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH02,104
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,OC98,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,OC97,6
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA09,5
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA01,6
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH09,691
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MH01,13
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,HM03,1
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH03,1010
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MH09,100
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,HM07,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA04,5
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MH02,1
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,HM06,1
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH01,29
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,MA09,1
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,HM05,1
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ09,34
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ12,15
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ03,11
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ02,837
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ04,8
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ01,532
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH01,2
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH04,5
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS02,213
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,OC97,2
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,CJ02,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS09,233
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA05,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH02,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS04,461
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA09,2
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS03,266
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS05,136
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HM07,4
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA01,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS01,733
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA02,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH09,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HM03,1
18+ Adult,HOMELESS,CH02,1
18+ Adult,HOMELESS,OC99,3
18+ Adult,HOMELESS,HS05,1
18+ Adult,HOMELESS,HS01,1
18+ Adult,HOMELESS,OC98,2
18+ Adult,HOMELESS,OC96,2
18+ Adult,HOMELESS,HM01,387
18+ Adult,HOMELESS,SH09,2
18+ Adult,HOMELESS,MA02,13
18+ Adult,HOMELESS,HM07,1314
18+ Adult,HOMELESS,HM04,618
18+ Adult,HOMELESS,MA05,1
18+ Adult,HOMELESS,OC97,2
18+ Adult,HOMELESS,MA09,6
18+ Adult,HOMELESS,HM03,421
18+ Adult,HOMELESS,MA04,2
18+ Adult,HOMELESS,HM02,10
18+ Adult,HOMELESS,MA06,1
18+ Adult,HOMELESS,HM05,556
18+ Adult,HOMELESS,HM06,1157
18+ Adult,MAINSTREAM HOUSING,MA03,338
18+ Adult,MAINSTREAM HOUSING,MA06,7565
18+ Adult,MAINSTREAM HOUSING,MA04,10440
18+ Adult,MAINSTREAM HOUSING,OC99,28
18+ Adult,MAINSTREAM HOUSING,HS02,1
18+ Adult,MAINSTREAM HOUSING,MA09,5466
18+ Adult,MAINSTREAM HOUSING,MH01,5
18+ Adult,MAINSTREAM HOUSING,MA02,12228
18+ Adult,MAINSTREAM HOUSING,MH02,1
18+ Adult,MAINSTREAM HOUSING,HM07,2
18+ Adult,MAINSTREAM HOUSING,SH09,2
18+ Adult,MAINSTREAM HOUSING,HM03,2
18+ Adult,MAINSTREAM HOUSING,OC98,10
18+ Adult,MAINSTREAM HOUSING,OC97,21
18+ Adult,MAINSTREAM HOUSING,MH09,1
18+ Adult,MAINSTREAM HOUSING,OC96,1
18+ Adult,MAINSTREAM HOUSING,MA05,10417
18+ Adult,MAINSTREAM HOUSING,CH09,1
18+ Adult,MAINSTREAM HOUSING,SH03,1
18+ Adult,MAINSTREAM HOUSING,MA01,13588
18+ Adult,MAINSTREAM HOUSING,CH03,1
18+ Adult,MAINSTREAM HOUSING,HM04,1
18+ Adult,MAINSTREAM HOUSING,HM05,3
18+ Adult,MAINSTREAM HOUSING,HS01,2
18+ Adult,MAINSTREAM HOUSING,HM06,30
18+ Adult,MAINSTREAM HOUSING,HS03,1
18+ Adult,MOBILE ACCOMMODATION,ML00,9
18+ Adult,OTHER,OC98,343
18+ Adult,OTHER,HM05,6
18+ Adult,OTHER,OC97,2582
18+ Adult,OTHER,MH04,2
18+ Adult,OTHER,HM03,2
18+ Adult,OTHER,MA04,3
18+ Adult,OTHER,MA02,24
18+ Adult,OTHER,MA06,7
18+ Adult,OTHER,SH09,1
18+ Adult,OTHER,CH02,1
18+ Adult,OTHER,HM04,4
18+ Adult,OTHER,CH09,2
18+ Adult,OTHER,SH02,1
18+ Adult,OTHER,MH01,3
18+ Adult,OTHER,HM01,1
18+ Adult,OTHER,MA01,8
18+ Adult,OTHER,CH01,1
18+ Adult,OTHER,CJ02,2
18+ Adult,OTHER,OC99,5315
18+ Adult,OTHER,SH03,4
18+ Adult,OTHER,HM07,3
18+ Adult,OTHER,MA05,5
18+ Adult,OTHER,OC96,505
18+ Adult,OTHER,HS03,1
18+ Adult,OTHER,MA09,23
18+ Adult,OTHER,HM06,8
18+ Adult,OTHER,HS09,1
18+ Adult,SHELTERED HOUSING,SH03,394
18+ Adult,SHELTERED HOUSING,OC97,1
18+ Adult,SHELTERED HOUSING,OC98,1
18+ Adult,SHELTERED HOUSING,SH01,668
18+ Adult,SHELTERED HOUSING,MH01,2
18+ Adult,SHELTERED HOUSING,MH04,1
18+ Adult,SHELTERED HOUSING,MH02,1
18+ Adult,SHELTERED HOUSING,MA01,4
18+ Adult,SHELTERED HOUSING,HM05,2
18+ Adult,SHELTERED HOUSING,MA09,2
18+ Adult,SHELTERED HOUSING,SH09,596
18+ Adult,SHELTERED HOUSING,CH09,3
18+ Adult,SHELTERED HOUSING,MA05,4
18+ Adult,SHELTERED HOUSING,MA04,6
18+ Adult,SHELTERED HOUSING,SH02,267
