AgeBand,CareLevelGroup,AccommodationStatus,AccommodationType_nc,Patients
18+ Adult,CPA GROUP,NULL,NULL,196
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,CH03,2
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA05,6
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA01,2
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,CH09,5
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,SH09,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,SH01,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA06,3
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA04,3
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MA02,3
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH04,462
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH02,18
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH03,74
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,CJ02,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH09,275
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,OC96,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,SH03,3
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,HM05,1
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,HS01,3
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,HS03,2
18+ Adult,CPA GROUP,ACCOM WITH MH CARE SUPPORT,MH01,655
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH09,188
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,OC97,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MH01,3
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH02,21
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MA01,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,OC98,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,MA09,1
18+ Adult,CPA GROUP,ACCOM/OTHER NON-MH CARE SUPP,CH03,165
