AgeBand,AccommodationStatus,AccommodationType_nc,Patients
18+ Adult,NULL,NULL,37321
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA04,3
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA09,7
18+ Adult,ACCOM WITH MH CARE SUPPORT,CH09,13
18+ Adult,ACCOM WITH MH CARE SUPPORT,HM07,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS02,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,CH03,4
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA02,7
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA01,6
18+ Adult,ACCOM WITH MH CARE SUPPORT,SH09,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,SH03,6
18+ Adult,ACCOM WITH MH CARE SUPPORT,OC96,2
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH04,1567
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH02,46
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH01,1390
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS04,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS01,4
18+ Adult,ACCOM WITH MH CARE SUPPORT,SH01,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,HS03,4
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH09,611
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA05,9
18+ Adult,ACCOM WITH MH CARE SUPPORT,MH03,148
18+ Adult,ACCOM WITH MH CARE SUPPORT,HM06,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,OC97,4
18+ Adult,ACCOM WITH MH CARE SUPPORT,HM05,2
18+ Adult,ACCOM WITH MH CARE SUPPORT,CJ02,1
18+ Adult,ACCOM WITH MH CARE SUPPORT,MA06,4
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MH04,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,OC99,1
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA05,7
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MH01,12
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH09,694
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH02,90
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,SH03,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,OC97,7
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,OC98,3
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA01,8
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA09,4
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,HM07,2
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MH09,45
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH03,748
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,HM03,1
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA02,1
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,MA04,4
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,CH01,23
18+ Adult,ACCOM/OTHER NON-MH CARE SUPP,HM06,1
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ04,7
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,HM05,1
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ09,21
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ02,660
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ03,8
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ12,21
18+ Adult,ACCOMM WITH CRIM JUSTICE SUPP,CJ01,475
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH01,2
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH04,5
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS02,176
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,OC97,2
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HM07,4
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS09,244
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA05,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH02,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS04,438
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA09,2
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS03,262
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS05,112
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,CJ02,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA01,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HS01,515
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA02,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MH09,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,HM03,1
18+ Adult,ACUTE/LONGSTAY RES/FAC/HOSP,MA04,1
18+ Adult,HOMELESS,SH01,1
18+ Adult,HOMELESS,CH02,1
18+ Adult,HOMELESS,HS01,1
18+ Adult,HOMELESS,HS05,1
18+ Adult,HOMELESS,OC96,2
18+ Adult,HOMELESS,OC98,2
18+ Adult,HOMELESS,SH09,2
18+ Adult,HOMELESS,HM02,9
18+ Adult,HOMELESS,HM07,1163
18+ Adult,HOMELESS,MA02,15
18+ Adult,HOMELESS,HM06,1017
18+ Adult,HOMELESS,HM04,605
18+ Adult,HOMELESS,MA09,3
18+ Adult,HOMELESS,OC97,4
18+ Adult,HOMELESS,MA04,2
18+ Adult,HOMELESS,HM03,356
18+ Adult,HOMELESS,OC99,4
18+ Adult,HOMELESS,HM01,351
18+ Adult,HOMELESS,HM05,548
18+ Adult,HOMELESS,MA06,1
18+ Adult,MAINSTREAM HOUSING,MA03,308
18+ Adult,MAINSTREAM HOUSING,HS05,1
18+ Adult,MAINSTREAM HOUSING,SH09,2
18+ Adult,MAINSTREAM HOUSING,MA06,6790
18+ Adult,MAINSTREAM HOUSING,HS02,1
18+ Adult,MAINSTREAM HOUSING,HM03,1
18+ Adult,MAINSTREAM HOUSING,MH01,5
18+ Adult,MAINSTREAM HOUSING,MA09,6231
18+ Adult,MAINSTREAM HOUSING,MH02,1
18+ Adult,MAINSTREAM HOUSING,OC99,28
18+ Adult,MAINSTREAM HOUSING,MA04,9179
18+ Adult,MAINSTREAM HOUSING,HM07,3
18+ Adult,MAINSTREAM HOUSING,ML00,1
18+ Adult,MAINSTREAM HOUSING,MA02,12485
18+ Adult,MAINSTREAM HOUSING,OC98,10
18+ Adult,MAINSTREAM HOUSING,OC97,24
18+ Adult,MAINSTREAM HOUSING,MH09,1
18+ Adult,MAINSTREAM HOUSING,MA01,12235
18+ Adult,MAINSTREAM HOUSING,MA05,9618
18+ Adult,MAINSTREAM HOUSING,CH09,1
18+ Adult,MAINSTREAM HOUSING,HM05,4
18+ Adult,MAINSTREAM HOUSING,HM04,1
18+ Adult,MAINSTREAM HOUSING,HS01,2
18+ Adult,MAINSTREAM HOUSING,CH03,1
18+ Adult,MAINSTREAM HOUSING,HM06,27
18+ Adult,MAINSTREAM HOUSING,HS03,1
18+ Adult,MOBILE ACCOMMODATION,ML00,8
18+ Adult,OTHER,OC98,405
18+ Adult,OTHER,HM05,8
18+ Adult,OTHER,OC97,2677
